FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function1361,Carbon fixation,M00620+06,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",(K01902 and K01903)
Function1362,Carbon fixation,M00620+07,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",(K00174 and K00175 and K00176 and K00177)
Function1363,Serine and threonine metabolism,M00621+01,Glycine cleavage system,(K00281 or K00282 and K00283)
Function1364,Serine and threonine metabolism,M00621+02,Glycine cleavage system,K00605
Function1365,Serine and threonine metabolism,M00621+03,Glycine cleavage system,K00382
Function1366,Cofactor and vitamin metabolism,M00622+01,"Nicotinate degradation, nicotinate => fumarate",K18029 and K18030
Function1367,Cofactor and vitamin metabolism,M00622+02,"Nicotinate degradation, nicotinate => fumarate",K14974
Function1368,Cofactor and vitamin metabolism,M00622+03,"Nicotinate degradation, nicotinate => fumarate",K18028
Function1369,Cofactor and vitamin metabolism,M00622+04,"Nicotinate degradation, nicotinate => fumarate",K15357
Function1370,Cofactor and vitamin metabolism,M00622+05,"Nicotinate degradation, nicotinate => fumarate",K13995
Function1371,Cofactor and vitamin metabolism,M00622+06,"Nicotinate degradation, nicotinate => fumarate",K01799
Function1372,Aromatics degradation,M00623+01,"Phthalate degradation, phthalate => protocatechuate",K18068 and K18069
Function1373,Aromatics degradation,M00623+02,"Phthalate degradation, phthalate => protocatechuate",K18067
Function1374,Aromatics degradation,M00623+03,"Phthalate degradation, phthalate => protocatechuate",K04102
Function1375,Aromatics degradation,M00624+01,"Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate",K18074 and K18075 and K18077
Function1376,Aromatics degradation,M00624+02,"Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate",K18076
Function1377,Drug resistance,M00625+01,Methicillin resistance,K02547
Function1378,Drug resistance,M00625+02,Methicillin resistance,K02546
Function1379,Drug resistance,M00625+03,Methicillin resistance,K02545
Function1380,Drug resistance,M00627+01,"beta-Lactam resistance, Bla system",K02172
Function1381,Drug resistance,M00627+02,"beta-Lactam resistance, Bla system",K02171
Function1382,Drug resistance,M00627+03,"beta-Lactam resistance, Bla system",(K18766 or K17836)
Function1383,Other carbohydrate metabolism,M00630+01,"D-Galacturonate degradation (fungi), D-galacturonate => glycerol",(K18106 or K19634)
Function1384,Other carbohydrate metabolism,M00630+02,"D-Galacturonate degradation (fungi), D-galacturonate => glycerol",K18102
Function1385,Other carbohydrate metabolism,M00630+03,"D-Galacturonate degradation (fungi), D-galacturonate => glycerol",K18103
Function1386,Other carbohydrate metabolism,M00630+04,"D-Galacturonate degradation (fungi), D-galacturonate => glycerol",K18107
Function1387,Other carbohydrate metabolism,M00631+01,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",K01812
Function1388,Other carbohydrate metabolism,M00631+02,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",K00041
Function1389,Other carbohydrate metabolism,M00631+03,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",(K01685 or K16849 and K16850)
Function1390,Other carbohydrate metabolism,M00631+04,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",K00874
Function1391,Other carbohydrate metabolism,M00631+05,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",(K01625 or K17463)
Function1392,Other carbohydrate metabolism,M00632+01,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",K01785
Function1393,Other carbohydrate metabolism,M00632+02,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",K00849
Function1394,Other carbohydrate metabolism,M00632+03,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",K00965
Function1395,Other carbohydrate metabolism,M00632+04,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",K01784
Function1396,Central carbohydrate metabolism,M00633+01,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P",K05308
Function1397,Central carbohydrate metabolism,M00633+02,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P",K18126
Function1398,Central carbohydrate metabolism,M00633+03,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P",K11395
Function1399,Central carbohydrate metabolism,M00633+04,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P",K18978
Function1400,Aromatics degradation,M00636+01,"Phthalate degradation, phthalate => protocatechuate",K18251 and K18252
Function1401,Aromatics degradation,M00636+02,"Phthalate degradation, phthalate => protocatechuate",K18255
Function1402,Aromatics degradation,M00636+03,"Phthalate degradation, phthalate => protocatechuate",K18256
Function1403,Aromatics degradation,M00637+01,"Anthranilate degradation, anthranilate => catechol",(K05599 and K05600 and K11311 or K16319 and K16320 and K18248 and K18249)
Function1404,Aromatics degradation,M00638+01,"Salicylate degradation, salicylate => gentisate",K18242 and K18243 and K14578 and K14581
Function1405,Drug resistance,M00639+01,"Multidrug resistance, efflux pump MexCD-OprJ",K18294
Function1406,Drug resistance,M00639+02,"Multidrug resistance, efflux pump MexCD-OprJ",K18295 and K18296
Function1407,Drug resistance,M00641+01,"Multidrug resistance, efflux pump MexEF-OprN",K18297
Function1408,Drug resistance,M00641+02,"Multidrug resistance, efflux pump MexEF-OprN",K18298 and K18299
Function1409,Drug resistance,M00642+01,"Multidrug resistance, efflux pump MexJK-OprM",K18301
Function1410,Drug resistance,M00642+02,"Multidrug resistance, efflux pump MexJK-OprM",K18302 and K18303
Function1411,Drug resistance,M00643+01,"Multidrug resistance, efflux pump MexXY-OprM",K18129
Function1412,Drug resistance,M00643+02,"Multidrug resistance, efflux pump MexXY-OprM",K18094 and K18095 and K18139
Function1413,Drug resistance,M00649+01,"Multidrug resistance, efflux pump AdeABC",K18143
Function1414,Drug resistance,M00649+02,"Multidrug resistance, efflux pump AdeABC",K18144
Function1415,Drug resistance,M00649+03,"Multidrug resistance, efflux pump AdeABC",K18145 and K18146
Function1416,Drug resistance,M00651+01,"Vancomycin resistance, D-Ala-D-Lac type",(K18345 and K18344 and K07260 and K18346) or (K18351 and K18352 and K18354 and K18353)
Function1417,Drug resistance,M00651+02,"Vancomycin resistance, D-Ala-D-Lac type",(K18347 and K15739 and K08641)
Function1418,Drug resistance,M00652+01,"Vancomycin resistance, D-Ala-D-Ser type",K18350
Function1419,Drug resistance,M00652+02,"Vancomycin resistance, D-Ala-D-Ser type",K18349
Function1420,Drug resistance,M00652+03,"Vancomycin resistance, D-Ala-D-Ser type",K18348
Function1421,Drug resistance,M00652+04,"Vancomycin resistance, D-Ala-D-Ser type",K18856
Function1422,Drug resistance,M00652+05,"Vancomycin resistance, D-Ala-D-Ser type",K18866
Function1423,Plant pathogenicity,M00660+01,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K03222 and K03226 and K03227 and K03228 and K03229 and K03230 and K03224 and K03225 and K03223 and K18374 and K18376
Function1424,Plant pathogenicity,M00660+02,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K18373
Function1425,Plant pathogenicity,M00660+03,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K18375
Function1426,Plant pathogenicity,M00660+04,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K18377
Function1427,Plant pathogenicity,M00660+05,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K18378
Function1428,Plant pathogenicity,M00660+06,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K18379
Function1429,Plant pathogenicity,M00660+07,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K18380
Function1430,Plant pathogenicity,M00660+08,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",K18381
Function1431,Biosynthesis of other fungal compounds,M00661+01,"Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",K18385
Function1432,Biosynthesis of other fungal compounds,M00661+02,"Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",K18386
Function1433,Biosynthesis of other fungal compounds,M00661+03,"Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",K18387
Function1434,Symbiosis,M00664+01,Nodulation,K14658
Function1435,Symbiosis,M00664+02,Nodulation,K14659
Function1436,Symbiosis,M00664+03,Nodulation,K14666
Function1437,Symbiosis,M00664+04,Nodulation,K14657
Function1438,Biosynthesis of beta-lactams,M00672+01,"Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin",K12743
Function1439,Biosynthesis of beta-lactams,M00672+02,"Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin",K04126
Function1440,Biosynthesis of beta-lactams,M00672+03,"Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin",K10852
Function1441,Biosynthesis of beta-lactams,M00673+01,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K12743
Function1442,Biosynthesis of beta-lactams,M00673+02,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K04126
Function1443,Biosynthesis of beta-lactams,M00673+03,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K04127
Function1444,Biosynthesis of beta-lactams,M00673+04,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K12744
Function1445,Biosynthesis of beta-lactams,M00673+05,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K12745
Function1446,Biosynthesis of beta-lactams,M00673+06,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K04128
Function1447,Biosynthesis of beta-lactams,M00673+07,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K18062
Function1448,Biosynthesis of beta-lactams,M00673+08,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",K18063
Function1449,Biosynthesis of beta-lactams,M00674+01,"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",K12673
Function1450,Biosynthesis of beta-lactams,M00674+02,"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",K12674
Function1451,Biosynthesis of beta-lactams,M00674+03,"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",K12675
Function1452,Biosynthesis of beta-lactams,M00674+04,"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",K12676
Function1453,Biosynthesis of beta-lactams,M00675+01,"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",K18317
Function1454,Biosynthesis of beta-lactams,M00675+02,"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",K18316
Function1455,Biosynthesis of beta-lactams,M00675+03,"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",K18315
Function1456,Drug resistance,M00696+01,"Multidrug resistance, efflux pump AcrEF-TolC",K18140
Function1457,Drug resistance,M00696+02,"Multidrug resistance, efflux pump AcrEF-TolC",K18141 and K18142 and K12340
Function1458,Drug resistance,M00697+01,"Multidrug resistance, efflux pump MdtEF-TolC",K07690
Function1459,Drug resistance,M00697+02,"Multidrug resistance, efflux pump MdtEF-TolC",K18898 and K18899 and K12340
Function1460,Drug resistance,M00698+01,"Multidrug resistance, efflux pump BpeEF-OprC",K18900
Function1461,Drug resistance,M00698+02,"Multidrug resistance, efflux pump BpeEF-OprC",K18901 and K18902 and K18903
Function1462,Drug resistance,M00700+01,"Multidrug resistance, efflux pump AbcA",(K18906 or K18907)
Function1463,Drug resistance,M00700+02,"Multidrug resistance, efflux pump AbcA",K18104
Function1464,Drug resistance,M00702+01,"Multidrug resistance, efflux pump NorB",(K18906 or K18907)
Function1465,Drug resistance,M00702+02,"Multidrug resistance, efflux pump NorB",K08170
Function1466,Drug resistance,M00704+01,"Tetracycline resistance, efflux pump Tet38",K18906
Function1467,Drug resistance,M00704+02,"Tetracycline resistance, efflux pump Tet38",K08168
Function1468,Drug resistance,M00705+01,"Multidrug resistance, efflux pump MepA",K18909
Function1469,Drug resistance,M00705+02,"Multidrug resistance, efflux pump MepA",K18908
Function1470,Drug resistance,M00714+01,"Multidrug resistance, efflux pump QacA",K18938
Function1471,Drug resistance,M00714+02,"Multidrug resistance, efflux pump QacA",K08167
Function1472,Drug resistance,M00718+01,"Multidrug resistance, efflux pump MexAB-OprM",K18131
Function1473,Drug resistance,M00718+02,"Multidrug resistance, efflux pump MexAB-OprM",K03585 and K18138 and K18139
Function1474,Drug resistance,M00725+01,"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon",K19077
Function1475,Drug resistance,M00725+02,"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon",K19078
Function1476,Drug resistance,M00725+03,"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon",K03367 and K03739 and K14188 and K03740
Function1477,Drug resistance,M00726+01,"Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF",K19077
Function1478,Drug resistance,M00726+02,"Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF",K19078
Function1479,Drug resistance,M00726+03,"Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF",K14205
Function1480,Drug resistance,M00730+01,"Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter",K19077
Function1481,Drug resistance,M00730+02,"Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter",K19078
Function1482,Drug resistance,M00730+03,"Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter",K19079 and K19080
Function1483,Biosynthesis of beta-lactams,M00736+01,"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",K19102 and K19103 and K05375
Function1484,Biosynthesis of beta-lactams,M00736+02,"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",K19104
Function1485,Biosynthesis of beta-lactams,M00736+03,"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",K19105
Function1486,Biosynthesis of beta-lactams,M00736+04,"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",K19106
Function1487,Other carbohydrate metabolism,M00740+01,Methylaspartate cycle,K01647
Function1488,Other carbohydrate metabolism,M00740+02,Methylaspartate cycle,K01681
Function1489,Other carbohydrate metabolism,M00740+03,Methylaspartate cycle,K00031
Function1490,Other carbohydrate metabolism,M00740+04,Methylaspartate cycle,K00261
Function1491,Other carbohydrate metabolism,M00740+05,Methylaspartate cycle,K19268 and K01846
Function1492,Other carbohydrate metabolism,M00740+06,Methylaspartate cycle,K04835
Function1493,Other carbohydrate metabolism,M00740+07,Methylaspartate cycle,K19280
Function1494,Other carbohydrate metabolism,M00740+08,Methylaspartate cycle,K14449
Function1495,Other carbohydrate metabolism,M00740+09,Methylaspartate cycle,K19281
Function1496,Other carbohydrate metabolism,M00740+10,Methylaspartate cycle,K19282
Function1497,Other carbohydrate metabolism,M00740+11,Methylaspartate cycle,K00024
Function1498,Other carbohydrate metabolism,M00741+01,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",(K01965 and K01966 or K11263 and (K18472 or K19312 and K22568) or K01964 and K15036 and K15037)
Function1499,Other carbohydrate metabolism,M00741+02,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",K05606
Function1500,Other carbohydrate metabolism,M00741+03,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",(K01847 or K01848 and K01849)
Function1501,Drug resistance,M00744+01,"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE",K07637
Function1502,Drug resistance,M00744+02,"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE",K07660
Function1503,Drug resistance,M00744+03,"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE",K08477
Function1504,Drug resistance,M00745+01,"Imipenem resistance, repression of porin OprD",(K18072 and K18073) or (K07644 and K07665) or K18297
Function1505,Drug resistance,M00745+02,"Imipenem resistance, repression of porin OprD",K18093
Function1506,Drug resistance,M00746+01,"Multidrug resistance, repression of porin OmpF",K13632
Function1507,Drug resistance,M00746+02,"Multidrug resistance, repression of porin OmpF",K18513
Function1508,Drug resistance,M00746+03,"Multidrug resistance, repression of porin OmpF",K09476
Function1509,Other carbohydrate metabolism,M00761+01,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",K10011
Function1510,Other carbohydrate metabolism,M00761+02,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",K07806
Function1511,Other carbohydrate metabolism,M00761+03,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",K10012
Function1512,Other carbohydrate metabolism,M00761+04,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",K13014
Function1513,Arginine and proline metabolism,M00763+01,"Ornithine biosynthesis, mediated by LysW, glutamate => ornithine",K05826
Function1514,Drug resistance,M00769+01,"Multidrug resistance, efflux pump MexPQ-OpmE",K18304
Function1515,Drug resistance,M00769+02,"Multidrug resistance, efflux pump MexPQ-OpmE",K19591
Function1516,Drug resistance,M00769+03,"Multidrug resistance, efflux pump MexPQ-OpmE",K19595 and K19594 and K19593
Function1517,Macrolide biosynthesis,M00773+01,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15988 and K24555 and K24556 and K24557 and K24558
Function1518,Macrolide biosynthesis,M00773+02,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15989 and K15990
Function1519,Macrolide biosynthesis,M00773+03,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15992
Function1520,Macrolide biosynthesis,M00773+04,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15991
Function1521,Macrolide biosynthesis,M00773+05,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15993
Function1522,Macrolide biosynthesis,M00773+06,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15994
Function1523,Macrolide biosynthesis,M00773+07,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15995
Function1524,Macrolide biosynthesis,M00773+08,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",K15996
Function1525,Macrolide biosynthesis,M00774+01,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",K10817 and K24563 and K24564
Function1526,Macrolide biosynthesis,M00774+02,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",K14366
Function1527,Macrolide biosynthesis,M00774+03,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",K14367
Function1528,Macrolide biosynthesis,M00774+04,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",K14368 and K15997
Function1529,Macrolide biosynthesis,M00774+05,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",K14370
Function1530,Macrolide biosynthesis,M00774+06,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",K14369
Function1531,Macrolide biosynthesis,M00775+01,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",K16007 and K24565 and K24566
Function1532,Macrolide biosynthesis,M00775+02,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",K16008
Function1533,Macrolide biosynthesis,M00775+03,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",K16009
Function1534,Macrolide biosynthesis,M00775+04,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",K13320
Function1535,Macrolide biosynthesis,M00775+05,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",K16010
Function1536,Macrolide biosynthesis,M00776+01,"Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin",K16000 and K16001 and K16002
Function1537,Macrolide biosynthesis,M00776+02,"Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin",K16004
Function1538,Macrolide biosynthesis,M00776+03,"Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin",K16005
Function1539,Macrolide biosynthesis,M00776+04,"Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin",K16006
Function1540,Macrolide biosynthesis,M00777+01,"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",K14371 and K24567 and K24568 and K24569
Function1541,Macrolide biosynthesis,M00777+02,"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",K14372
Function1542,Macrolide biosynthesis,M00777+03,"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",K14373
Function1543,Macrolide biosynthesis,M00777+04,"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",K14374
Function1544,Macrolide biosynthesis,M00777+05,"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",K14375
Function1545,Type II polyketide biosynthesis,M00778+01,"Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide",K05551 and K05552 and K05553
Function1546,Type II polyketide biosynthesis,M00778+02,"Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide",((K05554 or K14249 or K15884 or K15885) and (K05555 or K14250) or K15886)
Function1547,Type II polyketide biosynthesis,M00779+01,"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",K05556
Function1548,Type II polyketide biosynthesis,M00779+02,"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",(K14626 or K14627)
Function1549,Type II polyketide biosynthesis,M00779+03,"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",(K14628 or K14629)
Function1550,Type II polyketide biosynthesis,M00779+04,"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",(K14630 and K14631 or K14632)
Function1551,Type II polyketide biosynthesis,M00780+01,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",K14251
Function1552,Type II polyketide biosynthesis,M00780+02,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",K14252
Function1553,Type II polyketide biosynthesis,M00780+03,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",K14253
Function1554,Type II polyketide biosynthesis,M00780+04,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",K14254
Function1555,Type II polyketide biosynthesis,M00780+05,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",K14255
Function1556,Type II polyketide biosynthesis,M00780+06,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",K14256
Function1557,Type II polyketide biosynthesis,M00780+07,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",K21301
Function1558,Type II polyketide biosynthesis,M00781+01,"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",K15941
Function1559,Type II polyketide biosynthesis,M00781+02,"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",K15942
Function1560,Type II polyketide biosynthesis,M00781+03,"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",K15943
Function1561,Type II polyketide biosynthesis,M00781+04,"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",K15944
Function1562,Type II polyketide biosynthesis,M00782+01,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15959
Function1563,Type II polyketide biosynthesis,M00782+02,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15960
Function1564,Type II polyketide biosynthesis,M00782+03,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15961
Function1565,Type II polyketide biosynthesis,M00782+04,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15963
Function1566,Type II polyketide biosynthesis,M00782+05,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15964
Function1567,Type II polyketide biosynthesis,M00782+06,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15965
Function1568,Type II polyketide biosynthesis,M00782+07,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15966
Function1569,Type II polyketide biosynthesis,M00782+08,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",K15967
Function1570,Type II polyketide biosynthesis,M00783+01,"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",K15968
Function1571,Type II polyketide biosynthesis,M00783+02,"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",K15969
Function1572,Type II polyketide biosynthesis,M00783+03,"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",K15886
Function1573,Type II polyketide biosynthesis,M00783+04,"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",K15971
Function1574,Type II polyketide biosynthesis,M00783+05,"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",K15972
Function1575,Type II polyketide biosynthesis,M00784+01,"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",K19566
Function1576,Type II polyketide biosynthesis,M00784+02,"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",K19567
Function1577,Type II polyketide biosynthesis,M00784+03,"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",K19568
Function1578,Type II polyketide biosynthesis,M00784+04,"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",K19569
Function1579,Type II polyketide biosynthesis,M00784+05,"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",K19570
